,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Land Contour,Lot Config,Neighborhood,Condition 1,Bldg Type,House Style,Overall Qual,Overall Cond,Roof Style,Exterior 1st,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Exposure,BsmtFin Type 1,BsmtFin Type 2,Total Bsmt SF,Heating QC,Central Air,Gr Liv Area,Kitchen AbvGr,Kitchen Qual,Functional,Fireplace Qu,Garage Type,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,Screen Porch,Misc Val,Yr Sold,SalePrice,is_remodeled,bsmt_cond_dmy,fireplace_qu_dmy,garage_cond_dmy,is_new,is_SBrkr,has_stone_mas_vnr,lot_is_regular,has_slope
1989,80,RL,65.0,14149,Lvl,Inside,Sawyer,Norm,1Fam,Sep,5,8,Hip,HdBoard,50.0,Gd,Gd,CBlock,Gd,LwQ,BLQ,980.0,TA,Y,1020,1,TA,Typ,Po,Detchd,528.0,Y,0,0,0,0,0,2007,12.013700752882718,0,0,1,1,0,1,0,0,0
2112,180,RM,35.0,3675,Lvl,Inside,Edwards,Norm,TwnhsE,Sep,6,5,Gable,VinylSd,76.0,TA,TA,PConc,Gd,GLQ,Unf,547.0,Ex,Y,1072,1,Gd,Typ,missing,Other,525.0,Y,0,44,0,0,0,2007,11.84939770159144,1,0,0,1,0,1,1,1,0
2383,20,FV,60.0,7200,Lvl,Inside,Somerst,Norm,1Fam,1Story,6,5,Gable,VinylSd,68.0,Gd,TA,PConc,No,GLQ,Unf,1262.0,Gd,Y,1262,1,Gd,Typ,missing,Attchd,572.0,Y,0,120,0,0,0,2006,12.128111104060462,1,0,0,1,1,1,1,1,0
1,20,RH,80.0,11622,Lvl,Inside,NAmes,Street,1Fam,1Story,5,6,Gable,VinylSd,0.0,TA,TA,CBlock,No,Rec,LwQ,882.0,TA,Y,896,1,TA,Typ,missing,Attchd,730.0,Y,140,0,0,120,0,2010,11.56171562913966,1,0,0,1,0,1,0,1,0
674,190,RM,63.0,7627,Lvl,Corner,OldTown,Street,2fmCon,2Story,4,6,Gable,AsbShng,0.0,Fa,TA,BrkTil,No,Unf,Unf,600.0,Gd,N,1701,2,Fa,Typ,missing,Other,0.0,N,0,0,148,0,0,2009,11.456884074086604,0,1,0,0,0,1,0,1,0
2548,50,RM,60.0,9600,Lvl,Inside,OldTown,Norm,1Fam,1.5Fin,5,6,Gable,MetalSd,264.0,TA,TA,CBlock,No,Rec,Unf,1212.0,Gd,Y,1668,1,TA,Typ,missing,Detchd,240.0,Y,0,0,140,0,0,2006,11.813030057420567,0,0,0,1,0,0,1,1,0
204,190,RH,60.0,6048,Lvl,Corner,SWISU,Street,2fmCon,1.5Fin,5,7,Gable,Wd Sdng,0.0,TA,Gd,BrkTil,Mn,LwQ,Unf,856.0,Gd,Y,1680,2,TA,Typ,Gd,Detchd,450.0,P,56,144,0,0,0,2010,11.651817463836847,0,0,0,0,0,1,0,1,0
596,20,RL,80.0,9600,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,7,Gable,MetalSd,0.0,Gd,TA,CBlock,No,ALQ,Unf,1113.0,Gd,Y,1113,1,Gd,Typ,Gd,Attchd,264.0,Y,0,80,120,0,0,2009,11.898187865760873,0,0,0,1,0,1,0,1,0
1867,20,RL,60.0,11556,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,9,Gable,VinylSd,0.0,TA,Ex,CBlock,No,BLQ,Unf,864.0,Gd,Y,1154,1,Ex,Typ,missing,Detchd,336.0,Y,63,0,0,0,0,2007,11.863582336583399,0,0,0,1,0,1,0,1,0
638,30,RL,60.0,10800,Lvl,Inside,OldTown,Norm,1Fam,1Story,5,7,Gable,Wd Sdng,0.0,TA,TA,BrkTil,No,Unf,Unf,720.0,TA,N,846,1,Gd,Typ,missing,Detchd,576.0,N,0,0,0,0,0,2009,11.571194373094205,0,0,0,1,0,1,0,1,0
2031,20,RL,71.0,9178,Lvl,Inside,CollgCr,Norm,1Fam,1Story,8,5,Gable,VinylSd,306.0,Gd,TA,PConc,Av,Unf,Unf,1643.0,Ex,Y,1651,1,Gd,Typ,Gd,Attchd,870.0,Y,204,64,0,0,0,2007,12.429216196844383,1,0,0,1,1,1,1,1,0
2681,60,RL,65.0,14006,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,144.0,Gd,TA,PConc,missing,Unf,Unf,936.0,Ex,Y,1776,1,Gd,Typ,TA,Attchd,474.0,Y,144,96,0,0,0,2006,12.167851432709975,1,0,0,1,0,1,0,0,0
59,50,RL,56.0,14720,Lvl,CulDSac,NoRidge,Norm,1Fam,1.5Fin,8,5,Hip,VinylSd,579.0,Gd,TA,PConc,Av,GLQ,Unf,2033.0,Ex,Y,3238,1,Gd,Typ,Ex,Attchd,666.0,Y,283,86,0,0,0,2010,12.92391243868049,0,0,0,1,0,1,0,0,0
2813,180,RM,21.0,1470,Lvl,Inside,MeadowV,Norm,Twnhs,Sep,4,6,Gable,CemntBd,0.0,TA,TA,CBlock,Av,GLQ,Unf,630.0,TA,Y,630,1,TA,Typ,missing,Other,0.0,Y,0,0,0,0,0,2006,11.198214720130528,1,0,0,0,0,1,0,1,0
2090,60,RL,65.0,8200,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,0.0,Gd,TA,PConc,No,Unf,Unf,847.0,Ex,Y,1928,1,Gd,Typ,Gd,BuiltIn,434.0,Y,100,48,0,0,0,2007,12.299107511497363,0,0,0,1,0,1,0,1,0
2401,20,RL,70.0,9100,Lvl,Inside,Sawyer,RRe,1Fam,1Story,5,4,Hip,Wd Sdng,51.0,TA,TA,CBlock,No,LwQ,Unf,988.0,Ex,Y,988,1,TA,Typ,missing,Detchd,624.0,Y,0,0,0,0,0,2006,11.771436160121729,1,0,0,1,0,1,0,1,0
1068,20,RL,91.0,10437,Lvl,Inside,NoRidge,Norm,1Fam,1Story,8,6,Hip,MetalSd,660.0,Gd,Gd,PConc,Gd,GLQ,Unf,2109.0,Ex,Y,2113,1,Gd,Typ,TA,Attchd,839.0,Y,236,46,0,0,0,2008,12.765688433465597,1,0,0,1,0,1,0,0,0
2621,20,RL,68.253174,11553,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,5,Hip,Plywood,188.0,TA,TA,CBlock,No,BLQ,Unf,1051.0,TA,Y,1159,1,TA,Typ,Fa,Attchd,336.0,Y,466,0,0,0,0,2006,11.970350312009105,1,0,1,1,0,1,0,0,0
2553,70,RM,66.0,3960,Lvl,Inside,OldTown,Norm,1Fam,2Story,7,8,Gable,Wd Sdng,0.0,TA,TA,BrkTil,No,Unf,Unf,502.0,TA,N,1004,1,Gd,Typ,Po,Detchd,200.0,N,280,0,68,0,0,2006,11.56171562913966,0,0,1,1,0,1,0,1,0
268,80,RL,65.0,6305,Lvl,Inside,Edwards,Norm,1Fam,Sep,6,6,Gable,Plywood,0.0,TA,TA,CBlock,Av,ALQ,Unf,1008.0,TA,Y,1096,1,TA,Typ,Fa,Detchd,352.0,Y,0,0,0,0,0,2010,11.737667737648135,1,0,1,1,0,1,0,1,0
249,20,RL,38.0,15240,Lvl,FR,CollgCr,Norm,1Fam,1Story,5,8,Gable,CemntBd,0.0,Gd,Gd,CBlock,No,GLQ,Rec,1026.0,Ex,Y,1026,1,TA,Typ,missing,Attchd,308.0,Y,316,85,0,0,0,2010,11.918390573078392,0,0,0,1,0,1,0,0,0
1246,70,RM,80.0,4800,Lvl,Inside,OldTown,Norm,1Fam,2Story,5,5,Gable,AsbShng,0.0,TA,TA,BrkTil,No,Unf,Unf,680.0,Fa,N,1360,1,TA,Typ,missing,Attchd,330.0,Y,192,50,0,0,0,2008,11.617285480294472,0,1,0,1,0,1,0,1,0
2787,90,RL,65.0,8385,Lvl,Inside,Mitchel,Norm,Duplex,1Story,6,5,Gable,Plywood,0.0,TA,TA,CBlock,Mn,Unf,Unf,1664.0,TA,Y,1664,2,TA,Typ,missing,Other,616.0,Y,0,0,0,0,0,2006,11.884489021402711,1,0,0,1,0,1,0,1,0
434,120,RL,34.0,5381,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,6,5,Gable,VinylSd,135.0,Gd,TA,PConc,Av,ALQ,Unf,1306.0,Ex,Y,1306,1,Gd,Typ,Gd,Attchd,624.0,Y,170,63,0,0,0,2009,12.185869938212655,1,0,0,1,0,1,1,0,0
1884,45,RL,55.0,5500,Lvl,Inside,OldTown,Norm,1Fam,1.5Unf,4,6,Gable,MetalSd,0.0,TA,TA,CBlock,No,Unf,Unf,882.0,Ex,Y,882,1,TA,Typ,missing,Other,0.0,Y,0,0,0,0,0,2007,11.544424132029599,1,0,0,0,0,1,0,1,0
772,80,RL,66.0,19255,Lvl,Inside,SawyerW,Norm,1Fam,Sep,6,5,Gable,Wd Sdng,100.0,Gd,TA,CBlock,Av,Rec,GLQ,520.0,Gd,Y,1338,1,Gd,Min2,Po,Attchd,576.0,Y,0,0,0,0,600,2009,11.960811288962345,1,0,1,1,0,1,0,0,0
1904,90,RL,80.0,8000,Lvl,Corner,NAmes,Street,Duplex,1Story,5,4,Gable,BrkFace,0.0,TA,TA,CBlock,No,Unf,Unf,1800.0,Ex,N,1800,2,TA,Typ,missing,Other,0.0,Y,0,0,0,0,0,2007,11.856515169360305,1,0,0,0,0,1,0,1,0
2116,90,RL,52.0,8741,Lvl,Inside,Edwards,Norm,Duplex,1Story,5,6,Gable,Plywood,0.0,TA,TA,CBlock,No,Unf,Unf,1195.0,TA,N,1195,2,TA,Typ,missing,Other,0.0,N,118,0,0,0,0,2007,11.49781182716018,0,0,0,0,0,1,0,1,0
687,70,RM,60.0,9600,Lvl,Inside,OldTown,Norm,1Fam,2Story,4,4,Gable,VinylSd,0.0,Gd,Gd,BrkTil,No,Unf,Unf,677.0,TA,Y,1510,1,Gd,Typ,missing,Detchd,720.0,N,0,0,160,0,0,2009,11.379394072345706,0,0,0,1,0,1,0,1,0
2536,90,RL,68.253174,8544,Lvl,Inside,NAmes,Norm,Duplex,1Story,3,4,Gable,Stucco,340.0,TA,TA,Slab,missing,missing,missing,0.0,Fa,N,1040,2,TA,Typ,missing,Detchd,400.0,Y,0,0,0,0,0,2006,11.379394072345706,0,1,0,1,0,0,0,1,0
480,60,RL,90.0,9900,Low,Inside,NoRidge,Norm,1Fam,2Story,7,5,Gable,HdBoard,256.0,Gd,TA,PConc,Gd,GLQ,Unf,1347.0,Ex,Y,2646,1,Gd,Typ,TA,Attchd,656.0,Y,340,60,144,0,0,2009,12.468436909997665,1,0,0,1,0,1,0,1,0
442,120,RL,48.0,6240,Lvl,Inside,NridgHt,Norm,TwnhsE,1Story,8,5,Hip,MetalSd,176.0,Gd,TA,PConc,No,GLQ,Unf,1324.0,Ex,Y,1324,1,Gd,Typ,Gd,Attchd,550.0,Y,192,38,0,0,0,2009,12.445089546000673,1,0,0,1,0,1,0,1,0
2816,180,RM,21.0,1533,Lvl,Inside,MeadowV,Norm,Twnhs,Sep,5,7,Gable,CemntBd,0.0,TA,TA,CBlock,Av,GLQ,Unf,630.0,Ex,Y,630,1,Ex,Typ,missing,Other,0.0,Y,0,0,0,0,0,2006,11.429543856031177,1,0,0,0,0,1,0,1,0
882,30,RL,64.0,8574,Lvl,Inside,Crawfor,Norm,1Fam,1Story,6,8,Gable,Stucco,0.0,Gd,TA,BrkTil,No,Unf,Unf,816.0,Ex,Y,1232,1,Gd,Typ,Gd,Detchd,440.0,Y,0,0,180,0,0,2009,11.901583454762012,0,0,0,1,0,1,0,1,0
1349,80,RL,85.0,13825,Lvl,Inside,Sawyer,Norm,1Fam,Sep,5,6,Gable,MetalSd,0.0,TA,Gd,CBlock,No,Unf,Unf,533.0,TA,Y,1601,1,TA,Min2,missing,BuiltIn,300.0,Y,280,34,0,0,0,2008,11.84939770159144,0,0,0,1,0,1,0,1,0
1792,120,RL,50.0,9466,Lvl,FR,Veenker,Norm,TwnhsE,1Story,8,5,Gable,BrkFace,0.0,Gd,TA,PConc,Gd,LwQ,ALQ,1494.0,Ex,Y,1494,1,Gd,Typ,Gd,Attchd,478.0,Y,0,30,0,217,0,2007,12.541472879190051,0,0,0,1,0,1,0,0,0
1778,120,FV,30.0,5330,Lvl,Inside,Somerst,Norm,TwnhsE,1Story,8,5,Gable,VinylSd,97.91702,Gd,TA,PConc,No,Unf,Unf,1550.0,Ex,Y,1550,1,Gd,Typ,missing,Attchd,528.0,Y,0,102,0,0,0,2007,12.24288661865289,0,0,0,1,1,1,0,0,0
1124,120,FV,37.0,3435,Lvl,Corner,Somerst,Norm,TwnhsE,1Story,7,5,Gable,MetalSd,0.0,Gd,TA,PConc,No,GLQ,Unf,1235.0,Ex,Y,1245,1,Gd,Typ,missing,Attchd,495.0,Y,0,100,0,0,0,2008,12.089538829274222,0,0,0,1,0,1,0,0,0
451,120,RL,43.0,3182,Lvl,Inside,Blmngtn,Norm,TwnhsE,1Story,7,5,Gable,VinylSd,16.0,Gd,TA,PConc,Av,GLQ,Unf,1373.0,Ex,Y,1555,1,Gd,Typ,TA,Attchd,430.0,Y,143,20,0,0,0,2009,12.167851432709975,0,0,0,1,0,1,0,1,0
1009,160,RM,21.0,1680,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,Gable,HdBoard,232.0,TA,TA,CBlock,No,ALQ,Unf,483.0,TA,Y,987,1,TA,Typ,missing,Detchd,264.0,Y,0,0,0,0,0,2008,11.355101379776661,1,0,0,1,0,1,0,1,0
1625,160,RL,24.0,2308,Lvl,Corner,NPkVill,Norm,TwnhsE,2Story,6,6,Gable,Plywood,0.0,TA,TA,CBlock,No,ALQ,Unf,804.0,TA,Y,1548,1,Gd,Typ,TA,Detchd,440.0,Y,48,0,0,0,0,2007,11.951180395901384,1,0,0,1,0,1,0,1,0
1637,20,RL,105.0,15431,Lvl,Inside,NridgHt,Norm,1Fam,1Story,10,5,Hip,VinylSd,400.0,Ex,TA,PConc,Gd,GLQ,Unf,1994.0,Ex,Y,2046,1,Ex,Typ,Gd,Attchd,878.0,Y,188,65,0,175,0,2007,13.017002861746503,0,0,0,1,0,1,0,1,0
2413,20,RL,68.253174,8789,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,6,Gable,VinylSd,0.0,TA,TA,CBlock,Mn,Rec,Unf,912.0,TA,Y,941,1,TA,Typ,Po,Attchd,288.0,Y,64,0,0,0,0,2006,11.769116870330638,1,0,1,1,0,1,0,0,0
1588,20,RL,68.253174,10960,Lvl,Inside,NWAmes,Norm,1Fam,1Story,6,5,Hip,HdBoard,0.0,TA,TA,CBlock,No,GLQ,Unf,1284.0,TA,Y,1284,1,TA,Typ,missing,Attchd,480.0,Y,0,0,192,0,0,2007,12.066810578196666,1,0,0,1,0,1,0,0,0
169,30,RM,60.0,7200,Lvl,Corner,OldTown,Norm,1Fam,1Story,5,7,Gable,MetalSd,294.0,TA,Gd,CBlock,No,BLQ,Unf,788.0,TA,Y,804,1,Gd,Typ,Gd,Attchd,240.0,Y,0,0,154,0,0,2010,11.686878772093667,0,0,0,1,0,1,1,1,0
77,90,RM,68.0,8930,Lvl,Inside,Sawyer,RRe,Duplex,1.5Fin,6,5,Gable,VinylSd,0.0,TA,TA,Slab,missing,missing,missing,0.0,TA,Y,1902,2,TA,Typ,missing,Attchd,539.0,Y,0,0,0,0,0,2010,11.626254150277232,1,1,0,1,0,1,0,1,0
2166,30,RM,59.0,8263,Bnk,Inside,IDOTRR,Norm,1Fam,1Story,6,5,Gable,BrkFace,0.0,TA,TA,BrkTil,No,Unf,Unf,1012.0,TA,Y,1012,1,TA,Typ,Gd,Detchd,308.0,Y,0,22,112,0,0,2007,11.681824001432043,0,0,0,1,0,0,0,1,0
875,50,RH,70.0,6300,Lvl,Corner,SWISU,Norm,1Fam,1.5Fin,5,4,Gable,MetalSd,88.0,TA,TA,PConc,No,LwQ,Unf,832.0,TA,Y,1268,1,TA,Typ,Gd,Other,250.0,Y,0,0,55,0,0,2009,11.982929094215963,0,1,0,1,0,1,0,1,0
828,20,RL,68.253174,9286,Lvl,CulDSac,CollgCr,Norm,1Fam,1Story,5,7,Gable,HdBoard,0.0,TA,TA,CBlock,Av,ALQ,Unf,1268.0,TA,Y,1268,1,Gd,Typ,missing,Detchd,252.0,Y,173,0,0,0,0,2009,11.874090314181814,0,0,0,1,0,1,0,0,0
2582,50,RM,50.0,5000,Lvl,Corner,BrkSide,Street,1Fam,1.5Fin,6,7,Gable,CemntBd,0.0,TA,Gd,CBlock,No,ALQ,Unf,1004.0,Ex,Y,1664,1,TA,Typ,Gd,Detchd,420.0,Y,0,24,36,0,0,2006,11.976659481202368,0,0,0,1,0,1,0,1,0
412,60,RL,95.0,12350,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,5,Gable,VinylSd,0.0,Gd,TA,PConc,No,GLQ,Unf,1365.0,Ex,Y,2690,1,Ex,Typ,Gd,Attchd,864.0,Y,0,197,0,0,0,2009,12.89621531706982,1,0,0,1,1,1,0,1,0
1934,75,RM,75.0,13500,Lvl,Corner,OldTown,Norm,1Fam,2.5Unf,7,8,Gable,Wd Sdng,0.0,TA,Gd,PConc,No,Unf,Unf,819.0,TA,Y,2454,1,TA,Typ,Gd,Attchd,576.0,N,0,148,150,0,0,2007,12.128111104060462,0,0,0,1,0,0,0,1,0
1176,20,RL,90.0,9900,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,5,Gable,Plywood,0.0,TA,Gd,CBlock,No,Unf,Unf,1114.0,TA,Y,1114,1,TA,Typ,missing,Attchd,451.0,Y,0,0,0,164,0,2008,11.84939770159144,1,0,0,1,0,1,0,1,0
1323,20,RM,49.0,8235,HLS,Inside,OldTown,Street,1Fam,1Story,5,7,Gable,MetalSd,0.0,TA,Gd,CBlock,No,LwQ,Rec,825.0,TA,Y,825,1,TA,Typ,missing,Detchd,720.0,Y,140,50,0,0,0,2008,11.736069016284437,0,0,0,1,0,1,0,0,0
2641,50,RL,62.0,6488,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,5,5,Gable,BrkFace,0.0,TA,TA,BrkTil,No,LwQ,Unf,799.0,Ex,N,1150,1,TA,Mod,TA,BuiltIn,215.0,Y,264,0,0,0,0,2006,11.759785542901755,0,0,0,1,0,0,0,1,0
2599,50,RM,60.0,10320,Lvl,Inside,IDOTRR,Norm,1Fam,1.5Fin,4,5,Gable,MetalSd,0.0,TA,TA,BrkTil,No,Unf,Unf,596.0,Po,Y,1430,1,Fa,Typ,missing,Detchd,370.0,Y,218,0,0,210,0,2006,11.580584113444043,0,1,0,0,0,0,0,1,0
1156,20,RL,72.0,8872,Lvl,Corner,NAmes,Norm,1Fam,1Story,5,8,Gable,VinylSd,300.0,TA,TA,CBlock,No,ALQ,Unf,912.0,Ex,Y,912,1,Gd,Typ,missing,Detchd,576.0,Y,0,240,0,0,0,2008,11.898187865760873,0,0,0,1,0,1,0,1,0
435,120,RL,34.0,5122,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,6,5,Gable,VinylSd,135.0,Gd,TA,PConc,Av,GLQ,Unf,1306.0,Ex,Y,1306,1,Gd,Typ,Gd,Attchd,624.0,Y,170,63,0,0,0,2009,12.125404742462718,1,0,0,1,0,1,1,0,0
1467,75,RL,60.0,8400,Bnk,Inside,SWISU,Norm,1Fam,2.5Fin,5,8,Gable,Wd Sdng,0.0,TA,TA,PConc,No,LwQ,Unf,720.0,Ex,Y,2192,1,Gd,Typ,Gd,Detchd,240.0,Y,262,24,0,0,0,2008,12.097930486910471,0,0,0,1,0,1,0,1,0
1615,20,RL,60.0,9000,Lvl,FR,NAmes,Norm,1Fam,1Story,4,6,Gable,HdBoard,0.0,TA,TA,PConc,No,ALQ,Unf,864.0,TA,Y,864,1,TA,Typ,missing,Detchd,528.0,Y,0,0,0,0,0,2007,11.699405031912846,1,0,0,1,0,1,0,1,0
2450,20,RL,68.253174,9759,Lvl,Inside,NAmes,Norm,1Fam,1Story,5,5,Gable,Plywood,0.0,TA,TA,CBlock,No,BLQ,Unf,1051.0,TA,Y,1051,1,TA,Typ,missing,Attchd,264.0,Y,182,88,0,0,0,2006,11.731257459287216,1,0,0,1,0,1,0,0,0
2589,50,RM,52.0,6240,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,5,6,Gable,MetalSd,0.0,TA,TA,BrkTil,No,Unf,Unf,1042.0,Ex,Y,1576,1,TA,Typ,Gd,Detchd,225.0,Y,0,0,0,0,0,2006,11.911701584927597,0,0,0,1,0,1,0,1,0
2220,20,RL,124.0,27697,Lvl,Inside,Mitchel,Norm,1Fam,1Story,4,3,Shed,Plywood,198.0,TA,TA,CBlock,No,BLQ,Unf,1396.0,TA,N,1608,1,TA,Typ,missing,Attchd,444.0,Y,152,38,0,0,0,2007,11.289781913656018,1,0,0,0,0,1,0,1,0
1129,160,FV,24.0,2280,Lvl,Inside,Somerst,Norm,Twnhs,2Story,6,5,Gable,MetalSd,216.0,TA,TA,PConc,No,GLQ,Unf,744.0,Gd,Y,1549,1,TA,Typ,missing,Detchd,440.0,Y,0,32,0,0,0,2008,12.060468671671382,1,0,0,1,0,1,1,1,0
1621,160,RM,21.0,2058,Lvl,Inside,BrDale,Norm,Twnhs,2Story,6,5,Gable,HdBoard,265.0,TA,TA,CBlock,No,Unf,Unf,672.0,Ex,Y,1218,1,Ex,Typ,missing,Detchd,264.0,Y,0,28,0,0,0,2007,11.641318679738628,1,0,0,1,0,1,0,1,0
2084,60,RL,68.253174,12728,Lvl,Inside,CollgCr,Norm,1Fam,2Story,8,5,Gable,VinylSd,256.0,Gd,TA,PConc,Mn,GLQ,Unf,1531.0,Ex,Y,2439,1,Gd,Typ,TA,Attchd,560.0,Y,184,121,0,0,0,2007,12.524526376648708,1,0,0,1,0,1,0,1,0
1507,70,C (all),60.0,9000,Bnk,Inside,IDOTRR,Norm,1Fam,2Story,4,6,Gable,MetalSd,0.0,TA,TA,Stone,Mn,Unf,Unf,592.0,Ex,Y,864,1,Fa,Min2,missing,Detchd,216.0,N,0,30,160,0,0,2008,11.082142548877775,0,1,0,0,0,1,0,1,0
579,90,RL,85.0,11475,Lvl,Corner,NAmes,Norm,Duplex,1Story,5,5,Gable,VinylSd,95.0,TA,TA,CBlock,No,Unf,Unf,1584.0,TA,Y,1776,2,TA,Typ,missing,Detchd,888.0,Y,0,25,0,0,0,2009,11.608235644774552,1,0,0,1,0,1,0,1,0
1099,20,RL,66.0,13695,Lvl,Inside,SawyerW,RRe,1Fam,1Story,6,5,Gable,VinylSd,0.0,TA,TA,PConc,No,GLQ,Unf,1114.0,Ex,Y,1114,1,Gd,Typ,missing,Detchd,576.0,Y,0,78,0,0,0,2008,11.951180395901384,0,0,0,1,0,1,0,1,0
2093,60,RL,79.0,9245,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,5,Gable,VinylSd,0.0,Gd,TA,PConc,Av,Unf,Unf,939.0,Ex,Y,1797,1,Gd,Typ,missing,Attchd,639.0,Y,144,53,0,0,0,2007,12.271392111650817,1,0,0,1,0,1,0,0,0
2423,160,FV,24.0,2544,Lvl,Inside,Somerst,Norm,Twnhs,2Story,7,5,Gable,MetalSd,0.0,Gd,TA,PConc,No,Unf,Unf,600.0,Ex,Y,1223,1,Gd,Typ,missing,Detchd,480.0,Y,0,166,0,0,0,2006,11.917723684090689,1,0,0,1,0,1,0,1,0
309,60,RL,85.0,14191,Lvl,Inside,Timber,Norm,1Fam,2Story,8,5,Gable,VinylSd,0.0,Gd,TA,PConc,No,Unf,Unf,967.0,Ex,Y,1908,1,Gd,Typ,missing,Attchd,431.0,Y,135,0,0,0,0,2010,12.220468525813907,1,0,0,1,0,1,0,1,0
